customer_id,customer_name,cohort,site_camera_count,schedule_camera_count_max,orphan_cams_minimum,active_schedules_count,deleted_schedules_count,schedule_titles
37989,Central District Complex - Site A,F,8,8,0,1,0,161|VCH - Raise|VisualCameraHealth|Active|cams=8/8
37991,Tampa Office CS (1),F,13,13,0,1,0,162|VCH - Raise|VisualCameraHealth|Active|cams=13/13
38316,DH,F,3,3,0,1,2,597|AutoPatrol|AutoPatrol|Active|cams=3/3; 187|Raise|VisualCameraHealth|Deleted|cams=3/3; 598|test|AutoPatrol|Deleted|cams=3/3
38575,2992 Sheppard Ave E,F,7,7,0,1,0,201|VCH Check|VisualCameraHealth|Active|cams=7/7
38694,Immix Nottingham Office,F,10,10,0,3,0,276|CAM TEST DEMO|VisualCameraHealth|Active|cams=9/10; 247|DFaily Camera Check|VisualCameraHealth|Active|cams=4/10; 246|Site Camera Check|VisualCameraHealth|Active|cams=10/10
39252,(RVM2657) 8A4265 - Pemberton HCC,F,15,15,0,1,0,217|test|VisualCameraHealth|Active|cams=15/15
39845,TRAVIS TEST,Z,0,0,0,0,0,
401951,,—,0,0,0,0,0,None||||cams=0/0
401952,,—,0,0,0,0,0,None||||cams=0/0
401953,,—,0,0,0,0,0,None||||cams=0/0
40796,ABC Liquor Store 22,F,15,15,0,1,0,1074|Visual Camera Health|VisualCameraHealth|Active|cams=15/15
40797,ABC Liquor Store 21,F,18,18,0,1,0,1075|Visual Camera Health|VisualCameraHealth|Active|cams=18/18
40800,ABC Liquor Store 26,F,25,25,0,1,0,1070|Visual Camera Health|VisualCameraHealth|Active|cams=25/25
40801,ABC Liquor Store 25,F,15,15,0,1,0,1071|Visual Camera Health|VisualCameraHealth|Active|cams=15/15
40802,ABC Liquor Store 24,F,16,16,0,1,0,1072|Visual Camera Health|VisualCameraHealth|Active|cams=16/16
41260,Cimino Electric,F,10,10,0,1,0,331|VCH Check|VisualCameraHealth|Active|cams=10/10
41262,"Link Housing - 550 M St, Eureka, CA",F,4,4,0,1,0,333|VCH Check|VisualCameraHealth|Active|cams=4/4
41264,Mission Ace Hardware and Lumber,F,3,3,0,1,0,335|VCH Check|VisualCameraHealth|Active|cams=3/3
41266,Advanced Security Systems - Eureka Office,F,32,32,0,1,0,337|VCH Check|VisualCameraHealth|Active|cams=32/32
41798,CC260,Z,0,0,0,0,0,
