customer_id,customer_name,lead_name,container_name,camera_id,camera_name,schedules (id|title|patrolType|status; ...),subgroup,reason
37744,400 North Ashley,AP-Tenant1-UK - Patrol,connector-37744,414464,Tenant Lounge,151|400NA AP Actuate Daily 11:00|AutoPatrol|Active; 150|400NA AP Actuate Sat/Sun 13:00|AutoPatrol|Active; 145|400NA VCH Actuate Test 1|VisualCameraHealth|Active,F4,AP cronjob (ap-151) fires; 3 retries fail 'no response' on patrols API; Dummy-model warning present — site-level admin/Immix API connectivity
37744,400 North Ashley,AP-Tenant1-UK - Patrol,connector-37744,414465,Stairwell,151|400NA AP Actuate Daily 11:00|AutoPatrol|Active; 150|400NA AP Actuate Sat/Sun 13:00|AutoPatrol|Active; 145|400NA VCH Actuate Test 1|VisualCameraHealth|Active,F4,AP cronjob (ap-151) fires; 3 retries fail 'no response' on patrols API; Dummy-model warning present — site-level admin/Immix API connectivity
37744,400 North Ashley,AP-Tenant1-UK - Patrol,connector-37744,414466,Stairwell Entrance,151|400NA AP Actuate Daily 11:00|AutoPatrol|Active; 150|400NA AP Actuate Sat/Sun 13:00|AutoPatrol|Active; 145|400NA VCH Actuate Test 1|VisualCameraHealth|Active,F4,AP cronjob (ap-151) fires; 3 retries fail 'no response' on patrols API; Dummy-model warning present — site-level admin/Immix API connectivity
37744,400 North Ashley,AP-Tenant1-UK - Patrol,connector-37744,414467,Elevator,151|400NA AP Actuate Daily 11:00|AutoPatrol|Active; 150|400NA AP Actuate Sat/Sun 13:00|AutoPatrol|Active; 145|400NA VCH Actuate Test 1|VisualCameraHealth|Active,F4,AP cronjob (ap-151) fires; 3 retries fail 'no response' on patrols API; Dummy-model warning present — site-level admin/Immix API connectivity
37744,400 North Ashley,AP-Tenant1-UK - Patrol,connector-37744,414468,Riverwalk,151|400NA AP Actuate Daily 11:00|AutoPatrol|Active; 150|400NA AP Actuate Sat/Sun 13:00|AutoPatrol|Active; 145|400NA VCH Actuate Test 1|VisualCameraHealth|Active,F4,AP cronjob (ap-151) fires; 3 retries fail 'no response' on patrols API; Dummy-model warning present — site-level admin/Immix API connectivity
37744,400 North Ashley,AP-Tenant1-UK - Patrol,connector-37744,414469,Conference Room Again,151|400NA AP Actuate Daily 11:00|AutoPatrol|Active; 150|400NA AP Actuate Sat/Sun 13:00|AutoPatrol|Active; 145|400NA VCH Actuate Test 1|VisualCameraHealth|Active,F4,AP cronjob (ap-151) fires; 3 retries fail 'no response' on patrols API; Dummy-model warning present — site-level admin/Immix API connectivity
37744,400 North Ashley,AP-Tenant1-UK - Patrol,connector-37744,414470,Hikvision Camera 1,151|400NA AP Actuate Daily 11:00|AutoPatrol|Active; 150|400NA AP Actuate Sat/Sun 13:00|AutoPatrol|Active; 145|400NA VCH Actuate Test 1|VisualCameraHealth|Active,F4,AP cronjob (ap-151) fires; 3 retries fail 'no response' on patrols API; Dummy-model warning present — site-level admin/Immix API connectivity
37744,400 North Ashley,AP-Tenant1-UK - Patrol,connector-37744,414471,Hikvision Passthrough Camera 1,151|400NA AP Actuate Daily 11:00|AutoPatrol|Active; 150|400NA AP Actuate Sat/Sun 13:00|AutoPatrol|Active; 145|400NA VCH Actuate Test 1|VisualCameraHealth|Active,F4,AP cronjob (ap-151) fires; 3 retries fail 'no response' on patrols API; Dummy-model warning present — site-level admin/Immix API connectivity
37744,400 North Ashley,AP-Tenant1-UK - Patrol,connector-37744,414472,Dahua Dome 1,151|400NA AP Actuate Daily 11:00|AutoPatrol|Active; 150|400NA AP Actuate Sat/Sun 13:00|AutoPatrol|Active; 145|400NA VCH Actuate Test 1|VisualCameraHealth|Active,F4,AP cronjob (ap-151) fires; 3 retries fail 'no response' on patrols API; Dummy-model warning present — site-level admin/Immix API connectivity
37744,400 North Ashley,AP-Tenant1-UK - Patrol,connector-37744,414473,Dahua Dome 1-2,151|400NA AP Actuate Daily 11:00|AutoPatrol|Active; 150|400NA AP Actuate Sat/Sun 13:00|AutoPatrol|Active; 145|400NA VCH Actuate Test 1|VisualCameraHealth|Active,F4,AP cronjob (ap-151) fires; 3 retries fail 'no response' on patrols API; Dummy-model warning present — site-level admin/Immix API connectivity
37751,400 North Ashley,UK Sales - Patrol,connector-37751,414510,Conference Room,196|All Indoor Cameras|AutoPatrol|Active; 154|Test Site|VisualCameraHealth|Active; 197|Ward Demo|AutoPatrol|Active,F4,2 AP CHM schedules (ap-196 + ap-197) both fail 'no response' on patrols API (api_fail=3x each)
37751,400 North Ashley,UK Sales - Patrol,connector-37751,414511,Main Office,196|All Indoor Cameras|AutoPatrol|Active; 154|Test Site|VisualCameraHealth|Active; 197|Ward Demo|AutoPatrol|Active,F4,2 AP CHM schedules (ap-196 + ap-197) both fail 'no response' on patrols API (api_fail=3x each)
37751,400 North Ashley,UK Sales - Patrol,connector-37751,414512,Corridor,196|All Indoor Cameras|AutoPatrol|Active; 154|Test Site|VisualCameraHealth|Active; 197|Ward Demo|AutoPatrol|Active,F4,2 AP CHM schedules (ap-196 + ap-197) both fail 'no response' on patrols API (api_fail=3x each)
37751,400 North Ashley,UK Sales - Patrol,connector-37751,414513,Finance Office,196|All Indoor Cameras|AutoPatrol|Active; 154|Test Site|VisualCameraHealth|Active; 197|Ward Demo|AutoPatrol|Active,F4,2 AP CHM schedules (ap-196 + ap-197) both fail 'no response' on patrols API (api_fail=3x each)
37751,400 North Ashley,UK Sales - Patrol,connector-37751,414514,City,196|All Indoor Cameras|AutoPatrol|Active; 154|Test Site|VisualCameraHealth|Active; 197|Ward Demo|AutoPatrol|Active,F4,2 AP CHM schedules (ap-196 + ap-197) both fail 'no response' on patrols API (api_fail=3x each)
37751,400 North Ashley,UK Sales - Patrol,connector-37751,414515,Building Side Entrance,196|All Indoor Cameras|AutoPatrol|Active; 154|Test Site|VisualCameraHealth|Active; 197|Ward Demo|AutoPatrol|Active,F4,2 AP CHM schedules (ap-196 + ap-197) both fail 'no response' on patrols API (api_fail=3x each)
37751,400 North Ashley,UK Sales - Patrol,connector-37751,414516,Tenant Lounge,196|All Indoor Cameras|AutoPatrol|Active; 154|Test Site|VisualCameraHealth|Active; 197|Ward Demo|AutoPatrol|Active,F4,2 AP CHM schedules (ap-196 + ap-197) both fail 'no response' on patrols API (api_fail=3x each)
37751,400 North Ashley,UK Sales - Patrol,connector-37751,414517,Tenant Lounge Entrance,196|All Indoor Cameras|AutoPatrol|Active; 154|Test Site|VisualCameraHealth|Active; 197|Ward Demo|AutoPatrol|Active,F4,2 AP CHM schedules (ap-196 + ap-197) both fail 'no response' on patrols API (api_fail=3x each)
37751,400 North Ashley,UK Sales - Patrol,connector-37751,414518,Stairwell,196|All Indoor Cameras|AutoPatrol|Active; 154|Test Site|VisualCameraHealth|Active; 197|Ward Demo|AutoPatrol|Active,F4,2 AP CHM schedules (ap-196 + ap-197) both fail 'no response' on patrols API (api_fail=3x each)
37751,400 North Ashley,UK Sales - Patrol,connector-37751,414519,Stairwell Entrance,196|All Indoor Cameras|AutoPatrol|Active; 154|Test Site|VisualCameraHealth|Active; 197|Ward Demo|AutoPatrol|Active,F4,2 AP CHM schedules (ap-196 + ap-197) both fail 'no response' on patrols API (api_fail=3x each)
37751,400 North Ashley,UK Sales - Patrol,connector-37751,414520,Elevator,196|All Indoor Cameras|AutoPatrol|Active; 154|Test Site|VisualCameraHealth|Active; 197|Ward Demo|AutoPatrol|Active,F4,2 AP CHM schedules (ap-196 + ap-197) both fail 'no response' on patrols API (api_fail=3x each)
37751,400 North Ashley,UK Sales - Patrol,connector-37751,414521,Riverwalk,196|All Indoor Cameras|AutoPatrol|Active; 154|Test Site|VisualCameraHealth|Active; 197|Ward Demo|AutoPatrol|Active,F4,2 AP CHM schedules (ap-196 + ap-197) both fail 'no response' on patrols API (api_fail=3x each)
37751,400 North Ashley,UK Sales - Patrol,connector-37751,414522,Link to WhatApp camera (1),196|All Indoor Cameras|AutoPatrol|Active; 154|Test Site|VisualCameraHealth|Active; 197|Ward Demo|AutoPatrol|Active,F4,2 AP CHM schedules (ap-196 + ap-197) both fail 'no response' on patrols API (api_fail=3x each)
37751,400 North Ashley,UK Sales - Patrol,connector-37751,414523,Mobotix Native camera (1),196|All Indoor Cameras|AutoPatrol|Active; 154|Test Site|VisualCameraHealth|Active; 197|Ward Demo|AutoPatrol|Active,F4,2 AP CHM schedules (ap-196 + ap-197) both fail 'no response' on patrols API (api_fail=3x each)
37837,Test - RTSP\Generic,Immix.Lee - Patrol,connector-37837,415101,Mobotix Native camera (1),199|Action|AutoPatrol|Deleted; 255|Test|VisualCameraHealth|Deleted; 238|Test2|VisualCameraHealth|Deleted; 1028|test5|AutoPatrol|Active,F3,AP cronjob (ap-1028) fires 24x/day; persistent empty patrol list (no_patrols=72/24h)
37837,Test - RTSP\Generic,Immix.Lee - Patrol,connector-37837,419682,Generic Stream Dahua camera (1),199|Action|AutoPatrol|Deleted; 255|Test|VisualCameraHealth|Deleted; 238|Test2|VisualCameraHealth|Deleted; 1028|test5|AutoPatrol|Active,F3,AP cronjob (ap-1028) fires 24x/day; persistent empty patrol list (no_patrols=72/24h)
37837,Test - RTSP\Generic,Immix.Lee - Patrol,connector-37837,419688,Generic Stream Flir stream 3 camera (1),199|Action|AutoPatrol|Deleted; 255|Test|VisualCameraHealth|Deleted; 238|Test2|VisualCameraHealth|Deleted; 1028|test5|AutoPatrol|Active,F3,AP cronjob (ap-1028) fires 24x/day; persistent empty patrol list (no_patrols=72/24h)
