scheduleId,tenantId,admin_pk,customer_id,customer_name,title,integration,patrolType,scheduleCameraCount,siteCameraCount,verdict,immix_code_at_scan,immix_status_at_scan,createdDate,updatedDate,disabledAt,disabledBy
a0e878cc-98a0-4f35-02c0-08dde70262a5,8591e195-6c73-4dcd-8351-b3dda89fbdda,152,35878,400 North Ashley,400NA AP Actuate Sat/Sun 13:00,AutoPatrol,AutoPatrol,18,18,gone_400,400,(err),2025-09-10T08:45:34,2026-04-24T19:34:32,2026-04-24T19:34:32,cleanup_lambda
fedbc0a5-42f3-4847-02bf-08dde70262a5,8591e195-6c73-4dcd-8351-b3dda89fbdda,153,35878,400 North Ashley,400NA AP Actuate Daily 11:00,AutoPatrol,AutoPatrol,18,18,gone_400,400,(err),2025-09-10T08:45:36,2026-04-24T19:34:32,2026-04-24T19:34:32,cleanup_lambda
670dcb17-a549-4342-8815-08ddf582ce91,dfda7621-f1d3-4469-b6df-dea988fd81a9,157,37980,hanwha,Test Device Workers 1,VCH,VisualCameraHealth,13,13,gone_explicit,200,Deleted,2025-09-17T18:55:35,2026-04-24T19:34:50,2026-04-24T19:34:32,cleanup_lambda
9bc5e518-29df-4889-8817-08ddf582ce91,dfda7621-f1d3-4469-b6df-dea988fd81a9,160,35829,Site 1,50 test,VCH,VisualCameraHealth,50,100,gone_explicit,200,Deleted,2025-09-17T18:57:09,2026-04-24T19:35:02,2026-04-24T19:34:32,cleanup_lambda
f64800c1-76b0-4595-4f92-08ddfc56029c,dfda7621-f1d3-4469-b6df-dea988fd81a9,166,37255,Site 4,VCH,VCH,VisualCameraHealth,4,4,gone_explicit,200,Deleted,2025-09-25T17:10:36,2026-04-24T19:35:07,2026-04-24T19:34:32,cleanup_lambda
710491bb-05ee-41ef-4f9f-08ddfc56029c,dfda7621-f1d3-4469-b6df-dea988fd81a9,167,38235,EB,Remote Patrol for Persons Afterhours,AutoPatrol,AutoPatrol,3,3,gone_explicit,200,Deleted,2025-09-25T17:30:34,2026-04-24T19:34:42,2026-04-24T19:34:32,cleanup_lambda
cf5dd7e2-abad-4ec8-4f9b-08ddfc56029c,dfda7621-f1d3-4469-b6df-dea988fd81a9,168,38235,EB,Raise,VCH,VisualCameraHealth,3,3,gone_explicit,200,Deleted,2025-09-25T17:32:13,2026-04-24T19:34:41,2026-04-24T19:34:32,cleanup_lambda
f9611595-41bb-49e4-4f96-08ddfc56029c,dfda7621-f1d3-4469-b6df-dea988fd81a9,170,37325,Site 3,Raise,VCH,VisualCameraHealth,5,7,gone_explicit,200,Deleted,2025-09-26T16:37:08,2026-04-24T19:35:05,2026-04-24T19:34:32,cleanup_lambda
f9be679d-7474-47d9-4fb1-08ddfc56029c,dfda7621-f1d3-4469-b6df-dea988fd81a9,172,38314,Lab Hik,VCH 2,VCH,VisualCameraHealth,16,16,gone_explicit,200,Deleted,2025-09-28T17:16:17,2026-04-24T19:34:57,2026-04-24T19:34:32,cleanup_lambda
86dee5c6-a26b-42d5-4fb0-08ddfc56029c,dfda7621-f1d3-4469-b6df-dea988fd81a9,173,37255,Site 4,VCH 2,VCH,VisualCameraHealth,4,4,gone_explicit,200,Deleted,2025-09-28T17:16:18,2026-04-24T19:35:08,2026-04-24T19:34:32,cleanup_lambda
e014485f-3c22-47e9-4faf-08ddfc56029c,dfda7621-f1d3-4469-b6df-dea988fd81a9,174,38235,EB,VCH 2,VCH,VisualCameraHealth,3,3,gone_explicit,200,Deleted,2025-09-28T17:16:19,2026-04-24T19:34:42,2026-04-24T19:34:32,cleanup_lambda
