customer_id,customer_name,cohort,integration_type,customer_active,site_cams_total,cams_on_schedule,cams_orphan,schedules_running,schedules_paused,schedules_deleted,camera_id,camera_name,reason_class,reason
35878,400 North Ashley,B,autopatrol,True,18,0,18,0,0,3,402369,Building Side Entrance,all-schedules-deleted,All 3 schedule(s) deleted; customer + cameras still in admin. Cohort-B-style (cleanup-pipeline candidate). Schedule titles: id=153 '400NA AP Actuate Daily 11:00' status=Deleted; id=152 '400NA AP Actuate Sat/Sun 13:00' status=Deleted; id=147 '400NA VCH Actuate Test 1' status=Deleted
35878,400 North Ashley,B,autopatrol,True,18,0,18,0,0,3,402370,Tenant Lounge Entrance,all-schedules-deleted,All 3 schedule(s) deleted; customer + cameras still in admin. Cohort-B-style (cleanup-pipeline candidate). Schedule titles: id=153 '400NA AP Actuate Daily 11:00' status=Deleted; id=152 '400NA AP Actuate Sat/Sun 13:00' status=Deleted; id=147 '400NA VCH Actuate Test 1' status=Deleted
35878,400 North Ashley,B,autopatrol,True,18,0,18,0,0,3,402371,Tenant Lounge,all-schedules-deleted,All 3 schedule(s) deleted; customer + cameras still in admin. Cohort-B-style (cleanup-pipeline candidate). Schedule titles: id=153 '400NA AP Actuate Daily 11:00' status=Deleted; id=152 '400NA AP Actuate Sat/Sun 13:00' status=Deleted; id=147 '400NA VCH Actuate Test 1' status=Deleted
35878,400 North Ashley,B,autopatrol,True,18,0,18,0,0,3,402372,Stairwell,all-schedules-deleted,All 3 schedule(s) deleted; customer + cameras still in admin. Cohort-B-style (cleanup-pipeline candidate). Schedule titles: id=153 '400NA AP Actuate Daily 11:00' status=Deleted; id=152 '400NA AP Actuate Sat/Sun 13:00' status=Deleted; id=147 '400NA VCH Actuate Test 1' status=Deleted
35878,400 North Ashley,B,autopatrol,True,18,0,18,0,0,3,402373,Stairwell Entrance,all-schedules-deleted,All 3 schedule(s) deleted; customer + cameras still in admin. Cohort-B-style (cleanup-pipeline candidate). Schedule titles: id=153 '400NA AP Actuate Daily 11:00' status=Deleted; id=152 '400NA AP Actuate Sat/Sun 13:00' status=Deleted; id=147 '400NA VCH Actuate Test 1' status=Deleted
35878,400 North Ashley,B,autopatrol,True,18,0,18,0,0,3,402374,Elevator,all-schedules-deleted,All 3 schedule(s) deleted; customer + cameras still in admin. Cohort-B-style (cleanup-pipeline candidate). Schedule titles: id=153 '400NA AP Actuate Daily 11:00' status=Deleted; id=152 '400NA AP Actuate Sat/Sun 13:00' status=Deleted; id=147 '400NA VCH Actuate Test 1' status=Deleted
35878,400 North Ashley,B,autopatrol,True,18,0,18,0,0,3,402375,Riverwalk,all-schedules-deleted,All 3 schedule(s) deleted; customer + cameras still in admin. Cohort-B-style (cleanup-pipeline candidate). Schedule titles: id=153 '400NA AP Actuate Daily 11:00' status=Deleted; id=152 '400NA AP Actuate Sat/Sun 13:00' status=Deleted; id=147 '400NA VCH Actuate Test 1' status=Deleted
35878,400 North Ashley,B,autopatrol,True,18,0,18,0,0,3,402376,Fight1-1,all-schedules-deleted,All 3 schedule(s) deleted; customer + cameras still in admin. Cohort-B-style (cleanup-pipeline candidate). Schedule titles: id=153 '400NA AP Actuate Daily 11:00' status=Deleted; id=152 '400NA AP Actuate Sat/Sun 13:00' status=Deleted; id=147 '400NA VCH Actuate Test 1' status=Deleted
35878,400 North Ashley,B,autopatrol,True,18,0,18,0,0,3,402377,Dahua Dome 1,all-schedules-deleted,All 3 schedule(s) deleted; customer + cameras still in admin. Cohort-B-style (cleanup-pipeline candidate). Schedule titles: id=153 '400NA AP Actuate Daily 11:00' status=Deleted; id=152 '400NA AP Actuate Sat/Sun 13:00' status=Deleted; id=147 '400NA VCH Actuate Test 1' status=Deleted
37167,Guardian Test,B,autopatrol,True,1,0,1,0,0,1,410457,ABBX-SAY2-IMCZ,all-schedules-deleted,All 1 schedule(s) deleted; customer + cameras still in admin. Cohort-B-style (cleanup-pipeline candidate). Schedule titles: id=120 'test' status=Deleted
